64 10000 64 100000 100000000 0.250000 0.150000 1.145000
n M absM M2 M4
368 9.254948e-02 8.525222e+00 1.136600e+02 3.552751e+04
369 -3.778489e+00 1.749161e+01 4.108278e+02 3.722735e+05
370 -4.304546e+00 7.235436e+00 8.602515e+01 2.336589e+04
371 2.176139e+01 2.253096e+01 6.536851e+02 7.209119e+05
372 1.236029e+01 1.249593e+01 2.087141e+02 8.431049e+04
373 -1.262188e+01 1.602860e+01 3.527233e+02 2.584870e+05
374 2.305729e+00 1.021125e+01 1.824760e+02 1.002122e+05
375 7.529541e+00 9.682847e+00 1.676831e+02 8.591501e+04
376 -1.901056e+01 1.949320e+01 4.416410e+02 3.066761e+05
377 -4.865364e+00 1.377896e+01 2.581174e+02 1.362729e+05
378 1.714541e+00 8.420107e+00 1.120633e+02 3.502780e+04
379 4.340784e+00 1.245626e+01 2.169929e+02 1.096726e+05
380 -5.146513e+00 8.506497e+00 1.008892e+02 2.201339e+04
381 -2.275965e+00 1.258530e+01 2.564811e+02 1.743335e+05
382 -3.297738e+00 7.979498e+00 8.415701e+01 1.396742e+04
383 -2.353105e+00 1.055048e+01 1.531727e+02 5.047086e+04
384 1.896975e+00 9.589150e+00 1.465378e+02 5.758741e+04
385 1.805260e+00 1.761107e+01 3.719362e+02 2.271323e+05
386 -3.528368e+00 1.036402e+01 1.559914e+02 5.117162e+04
387 1.745928e-01 1.043928e+01 1.481893e+02 4.690931e+04
388 -1.685462e+01 1.797813e+01 4.938813e+02 5.321011e+05
389 -2.801535e+00 6.880844e+00 8.107796e+01 2.273704e+04
390 -2.020788e+00 9.059873e+00 1.180356e+02 3.190420e+04
391 -1.264751e+00 1.204185e+01 2.066759e+02 9.250504e+04
392 4.354262e+00 1.626781e+01 3.235474e+02 1.701363e+05
393 1.138621e+01 1.518099e+01 3.533522e+02 3.035840e+05
394 4.879516e-01 8.323036e+00 1.073620e+02 2.910154e+04
395 -4.359282e-01 8.835287e+00 1.237476e+02 4.399840e+04
