D,L,kappa,lambda,min_nstep,max_nstep,d_nstep,tlength,ntherm,ntraj,naccu
3,4,1.500000e-01,1.145000e+00,10,50,2,1.000000e+00,1000,10000,100

dtau,dtau2,deltaH
2.173913e-02,4.725898e-04,4.717221e-03
2.173913e-02,4.725898e-04,5.226955e-03
2.173913e-02,4.725898e-04,5.420425e-03
2.173913e-02,4.725898e-04,4.112787e-03
2.173913e-02,4.725898e-04,5.314135e-03
2.173913e-02,4.725898e-04,5.625152e-03
2.173913e-02,4.725898e-04,5.246184e-03
2.173913e-02,4.725898e-04,5.229866e-03
2.173913e-02,4.725898e-04,4.521438e-03
2.173913e-02,4.725898e-04,5.094715e-03
2.173913e-02,4.725898e-04,4.601607e-03
2.173913e-02,4.725898e-04,5.166158e-03
2.173913e-02,4.725898e-04,5.087920e-03
2.173913e-02,4.725898e-04,5.542931e-03
2.173913e-02,4.725898e-04,5.217369e-03
2.173913e-02,4.725898e-04,4.490099e-03
2.173913e-02,4.725898e-04,4.729325e-03
2.173913e-02,4.725898e-04,4.240359e-03
2.173913e-02,4.725898e-04,4.697135e-03
2.173913e-02,4.725898e-04,5.152119e-03
2.173913e-02,4.725898e-04,5.008595e-03
2.173913e-02,4.725898e-04,5.787142e-03
2.173913e-02,4.725898e-04,4.860062e-03
2.173913e-02,4.725898e-04,5.356999e-03
2.173913e-02,4.725898e-04,4.990843e-03
2.173913e-02,4.725898e-04,4.490899e-03
2.173913e-02,4.725898e-04,5.491254e-03
2.173913e-02,4.725898e-04,4.890425e-03
2.173913e-02,4.725898e-04,4.274952e-03
2.173913e-02,4.725898e-04,4.800366e-03
2.173913e-02,4.725898e-04,4.404855e-03
2.173913e-02,4.725898e-04,4.824262e-03
2.173913e-02,4.725898e-04,5.195903e-03
2.173913e-02,4.725898e-04,5.799019e-03
2.173913e-02,4.725898e-04,4.803628e-03
2.173913e-02,4.725898e-04,4.620189e-03
2.173913e-02,4.725898e-04,5.645026e-03
2.173913e-02,4.725898e-04,5.448637e-03
2.173913e-02,4.725898e-04,5.444610e-03
2.173913e-02,4.725898e-04,5.328705e-03
2.173913e-02,4.725898e-04,5.768970e-03
2.173913e-02,4.725898e-04,4.873189e-03
2.173913e-02,4.725898e-04,5.191370e-03
2.173913e-02,4.725898e-04,4.355702e-03
2.173913e-02,4.725898e-04,5.364691e-03
2.173913e-02,4.725898e-04,5.186854e-03
2.173913e-02,4.725898e-04,4.872005e-03
2.173913e-02,4.725898e-04,5.082767e-03
2.173913e-02,4.725898e-04,5.502819e-03
2.173913e-02,4.725898e-04,5.762021e-03
2.173913e-02,4.725898e-04,5.146362e-03
2.173913e-02,4.725898e-04,5.474629e-03
2.173913e-02,4.725898e-04,5.195806e-03
2.173913e-02,4.725898e-04,5.337884e-03
2.173913e-02,4.725898e-04,4.772692e-03
2.173913e-02,4.725898e-04,5.914797e-03
2.173913e-02,4.725898e-04,5.351226e-03
2.173913e-02,4.725898e-04,4.909043e-03
2.173913e-02,4.725898e-04,5.008456e-03
2.173913e-02,4.725898e-04,5.865922e-03
2.173913e-02,4.725898e-04,4.484506e-03
2.173913e-02,4.725898e-04,5.261506e-03
2.173913e-02,4.725898e-04,4.936900e-03
2.173913e-02,4.725898e-04,5.033193e-03
2.173913e-02,4.725898e-04,4.907507e-03
2.173913e-02,4.725898e-04,5.139496e-03
2.173913e-02,4.725898e-04,5.578497e-03
2.173913e-02,4.725898e-04,4.969206e-03
2.173913e-02,4.725898e-04,4.747396e-03
2.173913e-02,4.725898e-04,5.399527e-03
2.173913e-02,4.725898e-04,5.328145e-03
2.173913e-02,4.725898e-04,4.693048e-03
2.173913e-02,4.725898e-04,4.619703e-03
2.272727e-02,5.165289e-04,5.582203e-03
