D,L,kappa,lambda,min_nstep,max_nstep,d_nstep,tlength,ntherm,ntraj,naccu
3,4,1.816900e-01,1.328200e+00,5,50,5,1.000000e+00,5000,100000,1000

dtau,dtau2,m2
2.222222e-02,4.938272e-04,1.358688e+01
2.222222e-02,4.938272e-04,1.392236e+01
2.222222e-02,4.938272e-04,1.490468e+01
2.222222e-02,4.938272e-04,1.092305e+01
2.222222e-02,4.938272e-04,1.393371e+01
2.222222e-02,4.938272e-04,1.532768e+01
2.222222e-02,4.938272e-04,1.381115e+01
2.222222e-02,4.938272e-04,1.132449e+01
2.222222e-02,4.938272e-04,1.357716e+01
2.222222e-02,4.938272e-04,1.502515e+01
2.222222e-02,4.938272e-04,1.479184e+01
2.222222e-02,4.938272e-04,1.364071e+01
2.500000e-02,6.250000e-04,1.263014e+01
2.500000e-02,6.250000e-04,1.547137e+01
2.500000e-02,6.250000e-04,1.308617e+01
2.500000e-02,6.250000e-04,1.369150e+01
2.500000e-02,6.250000e-04,1.489068e+01
2.500000e-02,6.250000e-04,1.692775e+01
2.500000e-02,6.250000e-04,1.444056e+01
2.500000e-02,6.250000e-04,1.484532e+01
2.500000e-02,6.250000e-04,1.240029e+01
2.500000e-02,6.250000e-04,1.333910e+01
2.500000e-02,6.250000e-04,1.529911e+01
2.500000e-02,6.250000e-04,1.108665e+01
2.500000e-02,6.250000e-04,1.316046e+01
2.500000e-02,6.250000e-04,1.251372e+01
2.500000e-02,6.250000e-04,1.767857e+01
2.500000e-02,6.250000e-04,1.414990e+01
2.500000e-02,6.250000e-04,1.467800e+01
2.500000e-02,6.250000e-04,1.532713e+01
2.500000e-02,6.250000e-04,1.433308e+01
2.500000e-02,6.250000e-04,1.324571e+01
2.500000e-02,6.250000e-04,1.716515e+01
2.500000e-02,6.250000e-04,1.530354e+01
2.500000e-02,6.250000e-04,1.723608e+01
2.500000e-02,6.250000e-04,1.514141e+01
2.500000e-02,6.250000e-04,1.323469e+01
2.500000e-02,6.250000e-04,1.517874e+01
2.500000e-02,6.250000e-04,1.150597e+01
2.500000e-02,6.250000e-04,1.662700e+01
2.500000e-02,6.250000e-04,1.406295e+01
2.500000e-02,6.250000e-04,1.464023e+01
2.500000e-02,6.250000e-04,1.173571e+01
2.500000e-02,6.250000e-04,1.439309e+01
2.500000e-02,6.250000e-04,1.413936e+01
2.500000e-02,6.250000e-04,1.411895e+01
2.500000e-02,6.250000e-04,1.469216e+01
2.500000e-02,6.250000e-04,1.550575e+01
2.500000e-02,6.250000e-04,1.332978e+01
2.500000e-02,6.250000e-04,1.585746e+01
2.500000e-02,6.250000e-04,1.431536e+01
2.500000e-02,6.250000e-04,1.899633e+01
2.500000e-02,6.250000e-04,1.737768e+01
2.500000e-02,6.250000e-04,1.227786e+01
2.500000e-02,6.250000e-04,1.396520e+01
2.500000e-02,6.250000e-04,1.143911e+01
2.500000e-02,6.250000e-04,1.218575e+01
2.500000e-02,6.250000e-04,1.420880e+01
2.500000e-02,6.250000e-04,1.818062e+01
2.500000e-02,6.250000e-04,9.725207e+00
2.500000e-02,6.250000e-04,1.438722e+01
2.500000e-02,6.250000e-04,1.221398e+01
2.500000e-02,6.250000e-04,1.479409e+01
2.500000e-02,6.250000e-04,1.728663e+01
2.500000e-02,6.250000e-04,9.835248e+00
2.500000e-02,6.250000e-04,1.535543e+01
2.500000e-02,6.250000e-04,1.618131e+01
2.500000e-02,6.250000e-04,1.431656e+01
2.500000e-02,6.250000e-04,1.215220e+01
2.500000e-02,6.250000e-04,1.441259e+01
2.500000e-02,6.250000e-04,1.351886e+01
2.500000e-02,6.250000e-04,1.244197e+01
2.500000e-02,6.250000e-04,1.694365e+01
2.500000e-02,6.250000e-04,1.080289e+01
2.500000e-02,6.250000e-04,1.476006e+01
2.500000e-02,6.250000e-04,1.148572e+01
2.500000e-02,6.250000e-04,1.611580e+01
2.500000e-02,6.250000e-04,1.579477e+01
2.500000e-02,6.250000e-04,1.448870e+01
2.500000e-02,6.250000e-04,1.412049e+01
2.500000e-02,6.250000e-04,1.550202e+01
2.500000e-02,6.250000e-04,1.810042e+01
2.500000e-02,6.250000e-04,1.525290e+01
2.500000e-02,6.250000e-04,1.436174e+01
2.500000e-02,6.250000e-04,1.057703e+01
2.500000e-02,6.250000e-04,1.406500e+01
2.500000e-02,6.250000e-04,1.319580e+01
2.500000e-02,6.250000e-04,1.247799e+01
2.500000e-02,6.250000e-04,1.473653e+01
2.500000e-02,6.250000e-04,1.557816e+01
2.500000e-02,6.250000e-04,1.441236e+01
2.500000e-02,6.250000e-04,1.591697e+01
2.500000e-02,6.250000e-04,1.310723e+01
2.500000e-02,6.250000e-04,1.226954e+01
2.500000e-02,6.250000e-04,1.305996e+01
2.500000e-02,6.250000e-04,1.287289e+01
2.500000e-02,6.250000e-04,1.382276e+01
2.500000e-02,6.250000e-04,1.317611e+01
2.500000e-02,6.250000e-04,1.739644e+01
2.500000e-02,6.250000e-04,1.283400e+01
2.500000e-02,6.250000e-04,1.249813e+01
2.500000e-02,6.250000e-04,1.204902e+01
2.500000e-02,6.250000e-04,1.483345e+01
2.500000e-02,6.250000e-04,1.396692e+01
2.500000e-02,6.250000e-04,1.313515e+01
2.500000e-02,6.250000e-04,1.308187e+01
2.500000e-02,6.250000e-04,1.266226e+01
2.500000e-02,6.250000e-04,1.496755e+01
2.500000e-02,6.250000e-04,1.652422e+01
2.500000e-02,6.250000e-04,1.524212e+01
2.500000e-02,6.250000e-04,1.212220e+01
2.500000e-02,6.250000e-04,1.387718e+01
2.857143e-02,8.163265e-04,1.502034e+01
2.857143e-02,8.163265e-04,1.572322e+01
2.857143e-02,8.163265e-04,1.379696e+01
2.857143e-02,8.163265e-04,1.212119e+01
2.857143e-02,8.163265e-04,1.216806e+01
2.857143e-02,8.163265e-04,1.548546e+01
2.857143e-02,8.163265e-04,1.484237e+01
2.857143e-02,8.163265e-04,1.454719e+01
2.857143e-02,8.163265e-04,1.459229e+01
2.857143e-02,8.163265e-04,1.482320e+01
2.857143e-02,8.163265e-04,1.325530e+01
2.857143e-02,8.163265e-04,1.307509e+01
2.857143e-02,8.163265e-04,1.687547e+01
2.857143e-02,8.163265e-04,1.690922e+01
2.857143e-02,8.163265e-04,1.390619e+01
2.857143e-02,8.163265e-04,1.364416e+01
2.857143e-02,8.163265e-04,1.980742e+01
2.857143e-02,8.163265e-04,1.245001e+01
2.857143e-02,8.163265e-04,1.550510e+01
2.857143e-02,8.163265e-04,1.633749e+01
2.857143e-02,8.163265e-04,1.146932e+01
2.857143e-02,8.163265e-04,1.432344e+01
2.857143e-02,8.163265e-04,1.454341e+01
2.857143e-02,8.163265e-04,1.370057e+01
2.857143e-02,8.163265e-04,1.415250e+01
2.857143e-02,8.163265e-04,1.335439e+01
2.857143e-02,8.163265e-04,1.234174e+01
2.857143e-02,8.163265e-04,1.217079e+01
2.857143e-02,8.163265e-04,1.423418e+01
2.857143e-02,8.163265e-04,1.369818e+01
2.857143e-02,8.163265e-04,1.240831e+01
2.857143e-02,8.163265e-04,1.339207e+01
2.857143e-02,8.163265e-04,1.417914e+01
2.857143e-02,8.163265e-04,1.482509e+01
2.857143e-02,8.163265e-04,1.393321e+01
2.857143e-02,8.163265e-04,1.404387e+01
2.857143e-02,8.163265e-04,1.452096e+01
2.857143e-02,8.163265e-04,1.219806e+01
2.857143e-02,8.163265e-04,1.553395e+01
2.857143e-02,8.163265e-04,1.715517e+01
2.857143e-02,8.163265e-04,1.428085e+01
2.857143e-02,8.163265e-04,1.458912e+01
2.857143e-02,8.163265e-04,1.322093e+01
2.857143e-02,8.163265e-04,1.367492e+01
2.857143e-02,8.163265e-04,1.490067e+01
2.857143e-02,8.163265e-04,1.355956e+01
2.857143e-02,8.163265e-04,1.175523e+01
2.857143e-02,8.163265e-04,1.415161e+01
2.857143e-02,8.163265e-04,1.493185e+01
2.857143e-02,8.163265e-04,1.551554e+01
2.857143e-02,8.163265e-04,1.544617e+01
2.857143e-02,8.163265e-04,1.215063e+01
2.857143e-02,8.163265e-04,1.473200e+01
2.857143e-02,8.163265e-04,1.393560e+01
2.857143e-02,8.163265e-04,1.613067e+01
2.857143e-02,8.163265e-04,1.220223e+01
2.857143e-02,8.163265e-04,1.601564e+01
2.857143e-02,8.163265e-04,1.516987e+01
2.857143e-02,8.163265e-04,1.693498e+01
