alpha_s,top_quark_mass,energy,upper_bound_inc,upper_bound_dec
0.118,172.5,6500,0.1,0.05

theta,x1,x2
0.352353,0.0471303,0.0280317
0.267728,0.051781,0.0313756
0.514861,0.0260664,0.0359565
0.931671,0.0455421,0.115188
0.840555,0.0460779,0.0687822
0.027683,0.0291799,0.0726408
0.461308,0.0866597,0.0172256
0.119174,0.0449547,0.0186559
0.686532,0.0295396,0.100995
0.411678,0.0598033,0.0474538
0.0561476,0.0394512,0.155192
0.404709,0.0843868,0.050929
0.325975,0.118825,0.0300087
0.0548628,0.0770922,0.0222249
0.0860985,0.0404363,0.0210774
0.720832,0.069047,0.0292499
0.331859,0.0491349,0.0470839
0.73497,0.0441165,0.0360072
0.232897,0.0855957,0.0365701
0.80939,0.0370814,0.0999833
0.394522,0.0773388,0.0129549
0.492073,0.0542443,0.0269441
0.553098,0.0245119,0.150273
0.231279,0.0426071,0.0273687
0.226045,0.0113606,0.0793469
0.968339,0.162436,0.0454744
0.811274,0.0210192,0.0512561
0.677766,0.0323997,0.029
0.213212,0.0570579,0.0246182
0.250929,0.0817972,0.0232182
0.759659,0.0255259,0.0549938
0.424034,0.035743,0.0353376
0.30928,0.0473142,0.0238354
0.770785,0.0218345,0.0405583
0.504037,0.01975,0.0517035
0.463782,0.0184521,0.0449483
0.7663,0.0211448,0.0613291
0.22652,0.0710998,0.0174328
0.175511,0.0298193,0.0465639
0.925243,0.278077,0.130189
0.305792,0.0130348,0.0565161
0.03949,0.0251554,0.046456
0.868618,0.0441247,0.0351473
0.662621,0.026139,0.10824
0.22631,0.0404796,0.126625
0.652203,0.0290954,0.0350371
0.542891,0.0135913,0.0587405
0.808615,0.0519965,0.0310899
0.837439,0.0494363,0.038085
0.33984,0.0157886,0.11629
0.900263,0.0947334,0.0260492
0.981194,0.0390996,0.0708116
0.3131,0.225587,0.0158799
0.401625,0.0651844,0.0194462
0.43967,0.0169694,0.103084
0.11927,0.0170612,0.117047
0.631915,0.0206657,0.221354
0.745724,0.0248735,0.139466
0.909069,0.0953346,0.0198281
0.800826,0.0205827,0.0766768
0.892812,0.0126888,0.0789175
0.298383,0.0581513,0.0149568
0.162499,0.0275422,0.0437712
0.704883,0.0257984,0.0616774
0.272744,0.0506365,0.0367725
0.485007,0.0191468,0.0431359
0.096216,0.120055,0.0171928
0.761801,0.0926005,0.0410608
0.128027,0.025036,0.0403838
0.379046,0.0335101,0.0256463
0.94978,0.0239968,0.146058
0.786112,0.126649,0.0258475
0.658441,0.0847876,0.0130691
0.849244,0.103447,0.0174273
0.497567,0.107476,0.029482
0.320918,0.0550494,0.0173421
0.232524,0.0216271,0.0718811
0.61511,0.258905,0.0142967
0.218624,0.0606623,0.0158069
0.228279,0.0534899,0.154738
0.290972,0.0258585,0.050564
0.241875,0.0574352,0.0382272
0.531507,0.0840304,0.0373337
0.188678,0.0310509,0.0291793
0.636225,0.0310402,0.0422476
0.899492,0.0742364,0.0293772
0.131702,0.0444101,0.0485722
0.146154,0.072133,0.0509124
0.77844,0.0332032,0.0274095
0.233145,0.0169175,0.0673692
0.732357,0.0908904,0.0215031
0.221237,0.0630317,0.0743902
0.445365,0.015816,0.100246
0.253615,0.105829,0.0289785
0.891472,0.0193282,0.0610383
0.778453,0.0272642,0.110759
0.925769,0.0169606,0.0847182
0.554115,0.0191893,0.0619962
0.261177,0.0371272,0.0260817
0.927716,0.0737911,0.051517
0.852024,0.0923469,0.0226485
0.414062,0.324214,0.0195519
0.825491,0.0361463,0.0587167
0.392715,0.0242975,0.114695
0.941338,0.0211853,0.0702095
0.254717,0.0769061,0.0182181
0.0526218,0.0236456,0.0778565
0.576492,0.0241504,0.0395452
0.492206,0.103865,0.0130204
0.96785,0.111941,0.0251812
0.177467,0.0431931,0.0437901
0.396527,0.0753008,0.0264789
0.748454,0.0223443,0.0480601
0.893126,0.0406711,0.0443142
0.340891,0.0276789,0.0383855
0.720574,0.0437856,0.0274531
0.594806,0.0265019,0.0387804
0.620027,0.0390093,0.0269689
0.3665,0.0224544,0.0344265
0.815362,0.0550753,0.017886
0.668532,0.0310396,0.0241641
0.579488,0.0662886,0.141475
0.973152,0.0153492,0.173092
0.0827742,0.012303,0.119458
0.465287,0.0284716,0.059185
0.150399,0.0109382,0.171187
0.295365,0.102996,0.0184688
0.274545,0.101035,0.0225482
0.78263,0.0217616,0.230167
0.73119,0.0421277,0.0355286
0.462049,0.0457561,0.0708188
0.120804,0.0295379,0.111574
0.464115,0.0290311,0.0485867
0.480469,0.0478427,0.0341483
0.862652,0.0428173,0.0232964
0.491598,0.0385658,0.0697358
0.34241,0.0660687,0.02374
0.485312,0.0291191,0.0389006
0.0440028,0.0741295,0.0171999
0.402955,0.0580438,0.0267292
0.219184,0.0151573,0.0725422
0.332846,0.0275539,0.0361207
0.661776,0.170432,0.017855
0.374452,0.042339,0.0624923
0.13344,0.0875502,0.102859
0.456521,0.0218623,0.0458577
0.372353,0.0320069,0.0518801
0.248294,0.0165554,0.0564322
0.636098,0.0186968,0.0436526
0.179529,0.0750146,0.0254939
0.0679279,0.062183,0.0372908
0.30615,0.0244165,0.176548
0.882069,0.0845024,0.0155486
0.676005,0.0224664,0.0901491
0.152272,0.100052,0.024892
0.087395,0.0863163,0.0121788
0.664596,0.135735,0.0137037
0.257666,0.0466652,0.0299676
0.651548,0.0420736,0.0973306
0.193136,0.0424368,0.0686542
0.672275,0.0529583,0.0276234
0.931427,0.0382074,0.139688
0.340486,0.0514072,0.0230902
0.891257,0.0816144,0.03672
0.259039,0.0143249,0.0905913
0.105299,0.101908,0.0188713
0.312784,0.0449101,0.0762065
0.856412,0.0457063,0.0252891
0.0237737,0.0707483,0.0235706
0.143207,0.0581112,0.016352
0.169431,0.02093,0.0557753
0.830015,0.100585,0.0350563
0.466569,0.0241632,0.0629335
0.372383,0.0367932,0.0436566
0.220917,0.0891884,0.0465937
0.69741,0.018764,0.0811434
0.552154,0.0582153,0.0174735
0.694841,0.024517,0.0347643
0.526295,0.017554,0.0917445
0.727825,0.038335,0.0749954
0.577536,0.0226524,0.0358662
0.497293,0.0152524,0.0551044
0.761935,0.0695116,0.0367676
0.511289,0.0388054,0.0269257
0.100126,0.0201654,0.0786657
0.322337,0.114153,0.0147665
0.912011,0.0715804,0.0408544
0.870764,0.0265983,0.183461
0.0663867,0.0188674,0.0826016
0.271785,0.0250541,0.0307077
0.87879,0.0508153,0.0259558
0.587411,0.0147962,0.0599841
0.70466,0.246,0.0162166
0.196899,0.0194615,0.150433
0.162069,0.0485614,0.043255
0.94817,0.0991436,0.0257994
0.65127,0.0499863,0.0195799
0.216975,0.0281567,0.063468
0.116019,0.0477618,0.0448287
0.916469,0.0565361,0.0640225
